frame,image_file,speed,heading,altitude
frame_1276.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1276.jpg,420,315,12000
frame_1305.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1305.jpg,480,310,15000
frame_1334.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1334.jpg,MISMATCH,MISMATCH,MISMATCH
frame_1363.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1363.jpg,430,270,6000
frame_1392.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1392.jpg,420,270,5000
frame_1421.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1421.jpg,450,270,8000
frame_1450.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1450.jpg,430,295,12000
frame_1479.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1479.jpg,420,230,12000
frame_1508.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1508.jpg,420,270,10000
frame_1537.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1537.jpg,530,320,12000
frame_1566.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1566.jpg,450,310,8000
frame_1595.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1595.jpg,300,25,10000
frame_1624.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1624.jpg,250,270,1000
frame_1653.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1653.jpg,480,265,8000
frame_1682.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1682.jpg,480,230,9000
frame_1711.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1711.jpg,420,270,10000
frame_1740.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1740.jpg,MISMATCH,MISMATCH,MISMATCH
frame_1769.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1769.jpg,420,270,18000
frame_1798.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1798.jpg,420,55,8000
frame_1827.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1827.jpg,480,290,10000
frame_1856.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1856.jpg,420,60,10000
frame_1885.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1885.jpg,320,30,15000
frame_1914.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1914.jpg,420,270,21000
frame_1943.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1943.jpg,340,25,5000
frame_1972.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_1972.jpg,360,320,12000
frame_2001.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2001.jpg,MISMATCH,MISMATCH,MISMATCH
frame_2030.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2030.jpg,MISMATCH,MISMATCH,MISMATCH
frame_2059.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2059.jpg,420,60,8000
frame_2088.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2088.jpg,450,270,4000
frame_2117.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2117.jpg,420,90,15000
frame_2146.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2146.jpg,,310,5000
frame_2175.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2175.jpg,340,320,2500
frame_2204.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2204.jpg,550,270,3500
frame_2233.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2233.jpg,350,45,12000
frame_2262.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2262.jpg,520,315,15000
frame_2291.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2291.jpg,,275,8500
frame_2320.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2320.jpg,380,320,9500
frame_2349.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2349.jpg,,245,5000
frame_2378.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2378.jpg,450,285,12000
frame_2407.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2407.jpg,420,270,15000
frame_2436.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2436.jpg,450,270,2000
frame_2465.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2465.jpg,270,90,15000
frame_2494.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2494.jpg,550,270,20000
frame_2523.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2523.jpg,480,25,10000
frame_2552.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2552.jpg,450,270,4000
frame_2581.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2581.jpg,450,15,2000
frame_2610.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2610.jpg,350,45,12000
frame_2639.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2639.jpg,,230,25000
frame_2668.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2668.jpg,420,90,22000
frame_2697.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2697.jpg,470,320,21000
frame_2726.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2726.jpg,420,295,8000
frame_2755.jpg,/home/understressengineer/programming/DRDO_HUD/Version_2/VID-20250127-WA0005_frames/frame_2755.jpg,MISMATCH,MISMATCH,MISMATCH
