time,type,oldValue,newValue,diff,diffPercent,position,id,oldColor,newColor,oldSize,newSize,oldPosition,newPosition
2025-03-04T23:08:31.366710,heading,124,123,-1.0,-0.8,,,,,,,,
2025-03-04T23:08:33.378620,fuel_level,82.0720915377978,80.46249148026702,-1.609600057530784,-2.0,,,,,,,,
2025-03-04T23:08:33.378676,symbol,★,✦,,,top-right,2.0,,,,,,
2025-03-04T23:08:33.378704,shape,circle,hexagon,,,,1.0,"(52, 152, 219)","(155, 89, 182)",25.0,27.0,"x:282,y:495","x:670,y:415"
2025-03-04T23:08:35.382900,temperature,16,15,-1.0,-6.2,,,,,,,,
2025-03-04T23:08:39.408605,altitude,9962,9974,12.0,0.1,,,,,,,,
2025-03-04T23:08:39.408653,speed,452,449,-3.0,-0.7,,,,,,,,
2025-03-04T23:08:39.408669,heading,123,127,4.0,3.3,,,,,,,,
2025-03-04T23:08:39.408701,symbol,■,△,,,bottom-left,3.0,,,,,,
2025-03-04T23:08:39.408740,shape,diamond,hexagon,,,,2.0,"(243, 156, 18)","(155, 89, 182)",26.0,26.0,"x:241,y:231","x:347,y:560"
2025-03-04T23:08:41.412188,speed,449,444,-5.0,-1.1,,,,,,,,
2025-03-04T23:08:41.412228,heading,127,128,1.0,0.8,,,,,,,,
2025-03-04T23:08:41.412241,fuel_level,80.46249148026702,79.03353304506757,-1.4289584351994478,-1.8,,,,,,,,
2025-03-04T23:08:41.412275,shape,hexagon,triangle,,,,2.0,"(155, 89, 182)","(46, 204, 113)",26.0,15.0,"x:347,y:560","x:634,y:204"
2025-03-04T23:08:43.423658,fuel_level,79.03353304506757,80.58450401450044,1.5509709694328677,2.0,,,,,,,,
2025-03-04T23:08:43.423723,shape,hexagon,hexagon,,,,3.0,"(155, 89, 182)","(155, 89, 182)",18.0,23.0,"x:332,y:557","x:996,y:365"
2025-03-04T23:08:45.439363,altitude,9974,9959,-15.0,-0.2,,,,,,,,
2025-03-04T23:08:45.439401,speed,444,434,-10.0,-2.3,,,,,,,,
2025-03-04T23:08:45.439409,heading,128,129,1.0,0.8,,,,,,,,
2025-03-04T23:08:45.439438,shape,triangle,triangle,,,,2.0,"(46, 204, 113)","(46, 204, 113)",15.0,20.0,"x:634,y:204","x:648,y:442"
2025-03-04T23:08:47.447872,fuel_level,80.58450401450044,80.7891574966639,0.20465348216346513,0.3,,,,,,,,
2025-03-04T23:08:49.459291,altitude,9959,10019,60.0,0.6,,,,,,,,
2025-03-04T23:08:49.459333,speed,434,443,9.0,2.1,,,,,,,,
2025-03-04T23:08:49.459371,shape,hexagon,square,,,,3.0,"(155, 89, 182)","(231, 76, 60)",23.0,24.0,"x:996,y:365","x:504,y:600"
2025-03-04T23:08:53.471321,speed,443,434,-9.0,-2.0,,,,,,,,
2025-03-04T23:08:53.471379,shape,hexagon,diamond,,,,1.0,"(155, 89, 182)","(243, 156, 18)",27.0,20.0,"x:670,y:415","x:965,y:353"
2025-03-04T23:08:55.485806,fuel_level,80.7891574966639,78.98705160064821,-1.8021058960156893,-2.2,,,,,,,,
2025-03-04T23:08:55.485856,symbol,✦,◇,,,top-right,2.0,,,,,,
2025-03-04T23:08:55.485884,shape,triangle,diamond,,,,2.0,"(46, 204, 113)","(243, 156, 18)",20.0,16.0,"x:648,y:442","x:522,y:247"
2025-03-04T23:08:59.511654,heading,129,127,-2.0,-1.6,,,,,,,,
2025-03-04T23:09:01.524589,altitude,10019,9959,-60.0,-0.6,,,,,,,,
2025-03-04T23:09:01.524632,speed,434,436,2.0,0.5,,,,,,,,
2025-03-04T23:09:01.524643,heading,127,123,-4.0,-3.1,,,,,,,,
2025-03-04T23:09:03.538200,altitude,9959,9929,-30.0,-0.3,,,,,,,,
2025-03-04T23:09:03.538244,fuel_level,78.98705160064821,79.72042012441102,0.733368523762806,0.9,,,,,,,,
2025-03-04T23:09:03.538282,shape,square,square,,,,3.0,"(231, 76, 60)","(231, 76, 60)",24.0,18.0,"x:504,y:600","x:448,y:410"
2025-03-04T23:09:05.550624,altitude,9929,9923,-6.0,-0.1,,,,,,,,
2025-03-04T23:09:05.550680,symbol,△,✦,,,bottom-left,3.0,,,,,,
2025-03-04T23:09:07.562763,speed,436,428,-8.0,-1.8,,,,,,,,
2025-03-04T23:09:11.586455,altitude,9923,10007,84.0,0.8,,,,,,,,
2025-03-04T23:09:11.586493,speed,428,437,9.0,2.1,,,,,,,,
2025-03-04T23:09:13.597802,speed,437,427,-10.0,-2.3,,,,,,,,
2025-03-04T23:09:13.597856,heading,123,119,-4.0,-3.3,,,,,,,,
2025-03-04T23:09:15.608740,heading,119,117,-2.0,-1.7,,,,,,,,
2025-03-04T23:09:15.608775,fuel_level,79.72042012441102,81.47526623748736,1.75484611307634,2.2,,,,,,,,
2025-03-04T23:09:17.618428,altitude,10007,10073,66.0,0.7,,,,,,,,
2025-03-04T23:09:17.618484,shape,diamond,hexagon,,,,1.0,"(243, 156, 18)","(155, 89, 182)",20.0,29.0,"x:965,y:353","x:236,y:526"
2025-03-04T23:09:19.632529,speed,427,430,3.0,0.7,,,,,,,,
2025-03-04T23:09:19.632666,symbolStatus,warning,normal,,,bottom-left,3.0,,,,,,
2025-03-04T23:09:21.635305,speed,430,429,-1.0,-0.2,,,,,,,,
2025-03-04T23:09:23.651198,shape,diamond,diamond,,,,2.0,"(243, 156, 18)","(243, 156, 18)",16.0,15.0,"x:522,y:247","x:842,y:363"
2025-03-04T23:09:25.665639,fuel_level,81.47526623748736,82.27551568507947,0.8002494475921083,1.0,,,,,,,,
2025-03-04T23:09:25.665687,symbol,◇,⚠,,,top-right,2.0,,,,,,
2025-03-04T23:09:25.665697,symbolStatus,normal,warning,,,top-right,2.0,,,,,,
2025-03-04T23:09:27.678402,fuel_level,82.27551568507947,81.34367107085755,-0.9318446142219159,-1.1,,,,,,,,
2025-03-04T23:09:27.678468,symbol,⚠,◆,,,top-right,2.0,,,,,,
2025-03-04T23:09:27.678484,symbolStatus,warning,normal,,,top-right,2.0,,,,,,
2025-03-04T23:09:33.713651,shape,hexagon,triangle,,,,1.0,"(155, 89, 182)","(46, 204, 113)",29.0,23.0,"x:236,y:526","x:781,y:276"
2025-03-04T23:09:35.726784,heading,117,118,1.0,0.9,,,,,,,,
2025-03-04T23:09:35.726832,symbol,◉,◈,,,top-left,1.0,,,,,,
2025-03-04T23:09:35.726844,symbolStatus,warning,normal,,,top-left,1.0,,,,,,
2025-03-04T23:09:37.730484,altitude,10073,9984,-89.0,-0.9,,,,,,,,
2025-03-04T23:09:37.730521,fuel_level,81.34367107085755,79.3831227059896,-1.9605483648679467,-2.4,,,,,,,,
2025-03-04T23:09:41.747879,altitude,9984,10073,89.0,0.9,,,,,,,,
2025-03-04T23:09:41.747954,speed,429,435,6.0,1.4,,,,,,,,
2025-03-04T23:09:41.748010,symbol,◈,◉,,,top-left,1.0,,,,,,
2025-03-04T23:09:41.748041,symbolStatus,normal,warning,,,top-left,1.0,,,,,,
2025-03-04T23:09:43.753079,symbol,◆,●,,,top-right,2.0,,,,,,
2025-03-04T23:09:43.753117,symbolStatus,normal,warning,,,top-right,2.0,,,,,,
2025-03-04T23:09:45.763430,speed,435,442,7.0,1.6,,,,,,,,
2025-03-04T23:09:47.773771,shape,square,square,,,,3.0,"(231, 76, 60)","(231, 76, 60)",18.0,28.0,"x:448,y:410","x:329,y:242"
2025-03-04T23:09:49.784093,heading,118,114,-4.0,-3.4,,,,,,,,
2025-03-04T23:09:49.784121,fuel_level,79.3831227059896,78.94439857752974,-0.4387241284598673,-0.6,,,,,,,,
2025-03-04T23:09:51.799767,heading,114,113,-1.0,-0.9,,,,,,,,
2025-03-04T23:09:53.800536,heading,113,109,-4.0,-3.5,,,,,,,,
2025-03-04T23:09:53.800602,shape,square,circle,,,,3.0,"(231, 76, 60)","(52, 152, 219)",28.0,30.0,"x:329,y:242","x:436,y:501"
2025-03-04T23:09:55.801794,altitude,10073,10101,28.0,0.3,,,,,,,,
2025-03-04T23:09:55.801833,fuel_level,78.94439857752974,79.3415750912957,0.397176513765956,0.5,,,,,,,,
2025-03-04T23:09:57.816844,symbol,✦,◇,,,bottom-left,3.0,,,,,,
2025-03-04T23:09:59.830580,speed,442,447,5.0,1.1,,,,,,,,
2025-03-04T23:10:01.834005,speed,447,454,7.0,1.6,,,,,,,,
2025-03-04T23:10:01.834059,symbol,●,◇,,,top-right,2.0,,,,,,
2025-03-04T23:10:01.834090,shape,circle,square,,,,3.0,"(52, 152, 219)","(231, 76, 60)",30.0,17.0,"x:436,y:501","x:824,y:370"
2025-03-04T23:10:05.838150,temperature,15,14,-1.0,-6.7,,,,,,,,
2025-03-04T23:10:07.850768,altitude,10101,10146,45.0,0.4,,,,,,,,
2025-03-04T23:10:07.850809,fuel_level,79.3415750912957,78.37623738228635,-0.9653377090093471,-1.2,,,,,,,,
2025-03-04T23:10:07.850822,temperature,14,13,-1.0,-7.1,,,,,,,,
2025-03-04T23:10:09.863404,speed,454,446,-8.0,-1.8,,,,,,,,
2025-03-04T23:10:09.863458,symbol,◇,★,,,top-right,2.0,,,,,,
2025-03-04T23:10:09.863473,symbolStatus,warning,normal,,,top-right,2.0,,,,,,
2025-03-04T23:10:09.863509,shape,square,diamond,,,,3.0,"(231, 76, 60)","(243, 156, 18)",17.0,21.0,"x:824,y:370","x:427,y:437"
2025-03-04T23:10:13.878361,altitude,10146,10051,-95.0,-0.9,,,,,,,,
2025-03-04T23:10:13.878437,shape,diamond,square,,,,2.0,"(243, 156, 18)","(231, 76, 60)",15.0,18.0,"x:842,y:363","x:293,y:586"
2025-03-04T23:10:17.889267,altitude,10051,10007,-44.0,-0.4,,,,,,,,
2025-03-04T23:10:17.889331,shape,triangle,diamond,,,,1.0,"(46, 204, 113)","(243, 156, 18)",23.0,28.0,"x:781,y:276","x:611,y:394"
2025-03-04T23:10:19.895003,speed,446,453,7.0,1.6,,,,,,,,
2025-03-04T23:10:19.895038,fuel_level,78.37623738228635,78.16161894292271,-0.21461843936363323,-0.3,,,,,,,,
2025-03-04T23:10:19.895049,temperature,13,12,-1.0,-7.7,,,,,,,,
2025-03-04T23:10:21.895739,symbol,★,⚠,,,top-right,2.0,,,,,,
2025-03-04T23:10:21.895770,symbolStatus,normal,warning,,,top-right,2.0,,,,,,
2025-03-04T23:10:23.900715,altitude,10007,9961,-46.0,-0.5,,,,,,,,
2025-03-04T23:10:23.900784,shape,square,circle,,,,2.0,"(231, 76, 60)","(52, 152, 219)",18.0,16.0,"x:293,y:586","x:710,y:425"
2025-03-04T23:10:25.917134,speed,453,456,3.0,0.7,,,,,,,,
2025-03-04T23:10:25.917163,fuel_level,78.16161894292271,77.95908517216084,-0.20253377076187462,-0.3,,,,,,,,
2025-03-04T23:10:25.917178,symbol,◇,⬡,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:27.923085,altitude,9961,9879,-82.0,-0.8,,,,,,,,
2025-03-04T23:10:29.925472,speed,456,450,-6.0,-1.3,,,,,,,,
2025-03-04T23:10:29.925536,heading,109,107,-2.0,-1.8,,,,,,,,
2025-03-04T23:10:31.941048,altitude,9879,9803,-76.0,-0.8,,,,,,,,
2025-03-04T23:10:31.941082,fuel_level,77.95908517216084,77.58303315631117,-0.3760520158496661,-0.5,,,,,,,,
2025-03-04T23:10:33.954763,fuel_level,77.58303315631117,76.42974977752384,-1.1532833787873358,-1.5,,,,,,,,
2025-03-04T23:10:35.971399,speed,450,446,-4.0,-0.9,,,,,,,,
2025-03-04T23:10:35.971440,heading,107,108,1.0,0.9,,,,,,,,
2025-03-04T23:10:35.971465,symbol,⬡,▣,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:37.986580,symbol,▣,★,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:37.986608,symbolStatus,normal,warning,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:40.000627,speed,446,452,6.0,1.3,,,,,,,,
2025-03-04T23:10:40.000661,heading,108,109,1.0,0.9,,,,,,,,
2025-03-04T23:10:40.000672,fuel_level,76.42974977752384,75.09080033666692,-1.338949440856922,-1.8,,,,,,,,
2025-03-04T23:10:40.000693,symbol,★,▣,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:40.000702,symbolStatus,warning,normal,,,bottom-left,3.0,,,,,,
2025-03-04T23:10:42.005322,speed,452,453,1.0,0.2,,,,,,,,
2025-03-04T23:10:42.005364,symbol,⚠,■,,,top-right,2.0,,,,,,
2025-03-04T23:10:42.005374,symbolStatus,warning,normal,,,top-right,2.0,,,,,,
2025-03-04T23:10:44.015752,speed,453,462,9.0,2.0,,,,,,,,
2025-03-04T23:10:44.015832,heading,109,111,2.0,1.8,,,,,,,,
2025-03-04T23:10:48.037778,heading,111,107,-4.0,-3.6,,,,,,,,
2025-03-04T23:10:48.037816,fuel_level,75.09080033666692,74.89434261866005,-0.19645771800686873,-0.3,,,,,,,,
2025-03-04T23:10:50.038836,temperature,12,11,-1.0,-8.3,,,,,,,,
2025-03-04T23:10:50.038898,shape,circle,diamond,,,,2.0,"(52, 152, 219)","(243, 156, 18)",16.0,20.0,"x:710,y:425","x:312,y:555"
2025-03-04T23:10:52.041405,altitude,9803,9856,53.0,0.5,,,,,,,,
2025-03-04T23:10:54.044494,speed,462,453,-9.0,-1.9,,,,,,,,
2025-03-04T23:10:56.050669,altitude,9856,9836,-20.0,-0.2,,,,,,,,
2025-03-04T23:10:58.057736,fuel_level,74.89434261866005,76.87002753885083,1.975684920190787,2.6,,,,,,,,
2025-03-04T23:11:00.068773,altitude,9836,9847,11.0,0.1,,,,,,,,
2025-03-04T23:11:00.068875,symbol,◉,●,,,top-left,1.0,,,,,,
2025-03-04T23:11:00.068945,shape,diamond,triangle,,,,3.0,"(243, 156, 18)","(46, 204, 113)",21.0,24.0,"x:427,y:437","x:678,y:337"
2025-03-04T23:11:04.089707,altitude,9847,9912,65.0,0.7,,,,,,,,
2025-03-04T23:11:06.100142,fuel_level,76.87002753885083,77.52940095713538,0.6593734182845452,0.9,,,,,,,,
2025-03-04T23:11:06.100179,temperature,11,10,-1.0,-9.1,,,,,,,,
2025-03-04T23:11:08.105327,speed,453,444,-9.0,-2.0,,,,,,,,
2025-03-04T23:11:10.107660,fuel_level,77.52940095713538,79.00410459587849,1.474703638743108,1.9,,,,,,,,
2025-03-04T23:11:10.107725,shape,diamond,square,,,,2.0,"(243, 156, 18)","(231, 76, 60)",20.0,19.0,"x:312,y:555","x:269,y:341"
2025-03-04T23:11:14.124648,altitude,9912,9814,-98.0,-1.0,,,,,,,,
2025-03-04T23:11:14.124685,speed,444,446,2.0,0.5,,,,,,,,
2025-03-04T23:11:14.124697,fuel_level,79.00410459587849,77.75494616415354,-1.2491584317249504,-1.6,,,,,,,,
2025-03-04T23:11:14.124707,temperature,10,9,-1.0,-10.0,,,,,,,,
2025-03-04T23:11:14.124737,shape,diamond,diamond,,,,1.0,"(243, 156, 18)","(243, 156, 18)",28.0,29.0,"x:611,y:394","x:594,y:443"
2025-03-04T23:11:16.126711,heading,107,108,1.0,0.9,,,,,,,,
2025-03-04T23:11:16.126789,temperature,9,8,-1.0,-11.1,,,,,,,,
2025-03-04T23:11:18.138211,altitude,9814,9714,-100.0,-1.0,,,,,,,,
2025-03-04T23:11:18.138267,symbol,▣,△,,,bottom-left,3.0,,,,,,
2025-03-04T23:11:18.138281,symbolStatus,normal,warning,,,bottom-left,3.0,,,,,,
2025-03-04T23:11:20.154458,speed,446,445,-1.0,-0.2,,,,,,,,
2025-03-04T23:11:20.154509,shape,triangle,hexagon,,,,3.0,"(46, 204, 113)","(155, 89, 182)",24.0,21.0,"x:678,y:337","x:460,y:520"
2025-03-04T23:11:22.165436,temperature,8,7,-1.0,-12.5,,,,,,,,
2025-03-04T23:11:24.167623,altitude,9714,9644,-70.0,-0.7,,,,,,,,
2025-03-04T23:11:28.180094,heading,108,105,-3.0,-2.8,,,,,,,,
2025-03-04T23:11:28.180139,temperature,7,6,-1.0,-14.3,,,,,,,,
2025-03-04T23:11:28.180167,symbol,■,⬡,,,top-right,2.0,,,,,,
2025-03-04T23:11:32.192075,speed,445,449,4.0,0.9,,,,,,,,
2025-03-04T23:11:32.192117,temperature,6,5,-1.0,-16.7,,,,,,,,
2025-03-04T23:11:36.216630,altitude,9644,9616,-28.0,-0.3,,,,,,,,
2025-03-04T23:11:36.216696,fuel_level,77.75494616415354,78.02628361443162,0.2713374502780823,0.3,,,,,,,,
2025-03-04T23:11:36.216740,symbol,△,◈,,,bottom-left,3.0,,,,,,
2025-03-04T23:11:36.216762,symbolStatus,warning,normal,,,bottom-left,3.0,,,,,,
2025-03-04T23:11:36.216826,shape,diamond,circle,,,,1.0,"(243, 156, 18)","(52, 152, 219)",29.0,25.0,"x:594,y:443","x:288,y:389"
2025-03-04T23:11:40.242765,shape,circle,hexagon,,,,1.0,"(52, 152, 219)","(155, 89, 182)",25.0,21.0,"x:288,y:389","x:926,y:459"
2025-03-04T23:11:42.243899,fuel_level,78.02628361443162,76.91285973963645,-1.1134238747951741,-1.4,,,,,,,,
2025-03-04T23:11:44.258644,speed,449,441,-8.0,-1.8,,,,,,,,
2025-03-04T23:11:44.258680,heading,105,109,4.0,3.8,,,,,,,,
2025-03-04T23:11:46.264497,speed,441,443,2.0,0.5,,,,,,,,
2025-03-04T23:11:46.264544,heading,109,112,3.0,2.8,,,,,,,,
2025-03-04T23:11:46.264596,shape,square,square,,,,2.0,"(231, 76, 60)","(231, 76, 60)",19.0,16.0,"x:269,y:341","x:244,y:481"
2025-03-04T23:11:48.275733,heading,112,110,-2.0,-1.8,,,,,,,,
2025-03-04T23:11:48.275786,shape,hexagon,square,,,,1.0,"(155, 89, 182)","(231, 76, 60)",21.0,19.0,"x:926,y:459","x:566,y:561"
2025-03-04T23:11:50.281925,fuel_level,76.91285973963645,77.678100223372,0.7652404837355533,1.0,,,,,,,,
2025-03-04T23:11:52.290543,altitude,9616,9644,28.0,0.3,,,,,,,,
2025-03-04T23:11:54.292547,altitude,9644,9650,6.0,0.1,,,,,,,,
2025-03-04T23:11:56.301721,altitude,9650,9612,-38.0,-0.4,,,,,,,,
2025-03-04T23:11:56.301753,speed,443,448,5.0,1.1,,,,,,,,
2025-03-04T23:11:58.315319,shape,square,circle,,,,2.0,"(231, 76, 60)","(52, 152, 219)",16.0,21.0,"x:244,y:481","x:799,y:216"
2025-03-04T23:12:00.327129,speed,448,450,2.0,0.4,,,,,,,,
2025-03-04T23:12:00.327182,heading,110,113,3.0,2.7,,,,,,,,
2025-03-04T23:12:00.327200,fuel_level,77.678100223372,75.94387734922272,-1.7342228741492818,-2.2,,,,,,,,
2025-03-04T23:12:02.337845,fuel_level,75.94387734922272,74.33464651032087,-1.6092308389018513,-2.1,,,,,,,,
2025-03-04T23:12:04.342511,altitude,9612,9601,-11.0,-0.1,,,,,,,,
2025-03-04T23:12:06.353519,heading,113,110,-3.0,-2.7,,,,,,,,
2025-03-04T23:12:06.353588,shape,hexagon,diamond,,,,3.0,"(155, 89, 182)","(243, 156, 18)",21.0,29.0,"x:460,y:520","x:939,y:477"
2025-03-04T23:12:08.365614,speed,450,448,-2.0,-0.4,,,,,,,,
2025-03-04T23:12:08.365662,symbol,⬡,■,,,top-right,2.0,,,,,,
2025-03-04T23:12:12.386371,speed,448,454,6.0,1.3,,,,,,,,
2025-03-04T23:12:12.386402,temperature,5,4,-1.0,-20.0,,,,,,,,
2025-03-04T23:12:12.386420,symbol,■,△,,,top-right,2.0,,,,,,
2025-03-04T23:12:12.386429,symbolStatus,normal,warning,,,top-right,2.0,,,,,,
2025-03-04T23:12:16.402907,heading,110,106,-4.0,-3.6,,,,,,,,
2025-03-04T23:12:18.416528,heading,106,102,-4.0,-3.8,,,,,,,,
2025-03-04T23:12:20.426448,temperature,4,3,-1.0,-25.0,,,,,,,,
2025-03-04T23:12:22.437896,speed,454,460,6.0,1.3,,,,,,,,
2025-03-04T23:12:22.437955,heading,102,101,-1.0,-1.0,,,,,,,,
2025-03-04T23:12:22.437982,fuel_level,74.33464651032087,76.08040450465836,1.7457579943374952,2.3,,,,,,,,
2025-03-04T23:12:22.438024,symbol,●,⬢,,,top-left,1.0,,,,,,
2025-03-04T23:12:22.438074,symbolStatus,warning,normal,,,top-left,1.0,,,,,,
2025-03-04T23:12:24.445470,altitude,9601,9675,74.0,0.8,,,,,,,,
2025-03-04T23:12:24.445513,fuel_level,76.08040450465836,75.98657103193328,-0.09383347272508047,-0.1,,,,,,,,
2025-03-04T23:12:26.459674,speed,460,463,3.0,0.7,,,,,,,,
2025-03-04T23:12:28.468863,fuel_level,75.98657103193328,76.99332512608446,1.0067540941511766,1.3,,,,,,,,
2025-03-04T23:12:30.478411,speed,463,455,-8.0,-1.7,,,,,,,,
2025-03-04T23:12:30.478492,fuel_level,76.99332512608446,75.99031502970297,-1.0030100963814874,-1.3,,,,,,,,
2025-03-04T23:12:30.478523,temperature,3,2,-1.0,-33.3,,,,,,,,
2025-03-04T23:12:30.478654,shape,circle,hexagon,,,,2.0,"(52, 152, 219)","(155, 89, 182)",21.0,16.0,"x:799,y:216","x:643,y:348"
2025-03-04T23:12:32.491447,speed,455,450,-5.0,-1.1,,,,,,,,
2025-03-04T23:12:34.500536,fuel_level,75.99031502970297,76.9622969866857,0.9719819569827308,1.3,,,,,,,,
2025-03-04T23:12:34.500579,symbol,⬢,▣,,,top-left,1.0,,,,,,
2025-03-04T23:12:34.500588,symbolStatus,normal,warning,,,top-left,1.0,,,,,,
2025-03-04T23:12:34.500607,shape,diamond,circle,,,,3.0,"(243, 156, 18)","(52, 152, 219)",29.0,15.0,"x:939,y:477","x:452,y:508"
2025-03-04T23:12:36.514708,fuel_level,76.9622969866857,77.08529136910909,0.12299438242338567,0.2,,,,,,,,
